"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","WAGEGAP","EMPLOYEE","PC","A","2015",13,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2015",17.04325299,
"BEL","WAGEGAP","EMPLOYEE","PC","A","2015",4.672,
"CAN","WAGEGAP","EMPLOYEE","PC","A","2015",18.62745098,
"CZE","WAGEGAP","EMPLOYEE","PC","A","2015",16.455154158,
"DNK","WAGEGAP","EMPLOYEE","PC","A","2015",5.8360481128,
"FIN","WAGEGAP","EMPLOYEE","PC","A","2015",18.055981324,
"DEU","WAGEGAP","EMPLOYEE","PC","A","2015",15.816326531,
"GRC","WAGEGAP","EMPLOYEE","PC","A","2015",6.25,
"HUN","WAGEGAP","EMPLOYEE","PC","A","2015",9.5238095238,
"ISL","WAGEGAP","EMPLOYEE","PC","A","2015",9.9314033361,
"IRL","WAGEGAP","EMPLOYEE","PC","A","2015",14.448940728,
"JPN","WAGEGAP","EMPLOYEE","PC","A","2015",25.731790334,
"KOR","WAGEGAP","EMPLOYEE","PC","A","2015",37.176281754,
"MEX","WAGEGAP","EMPLOYEE","PC","A","2015",16.666666667,
"NZL","WAGEGAP","EMPLOYEE","PC","A","2015",7.92,
"NOR","WAGEGAP","EMPLOYEE","PC","A","2015",7.1246819338,
"PRT","WAGEGAP","EMPLOYEE","PC","A","2015",18.917016404,
"SVK","WAGEGAP","EMPLOYEE","PC","A","2015",13.376624885,
"GBR","WAGEGAP","EMPLOYEE","PC","A","2015",17.101551481,
"USA","WAGEGAP","EMPLOYEE","PC","A","2015",18.882681564,
"CHL","WAGEGAP","EMPLOYEE","PC","A","2015",21.052631579,
"COL","WAGEGAP","EMPLOYEE","PC","A","2015",11.141715728,
"CRI","WAGEGAP","EMPLOYEE","PC","A","2015",3.7037037037,
"ISR","WAGEGAP","EMPLOYEE","PC","A","2015",20.439189189,
"OECD","WAGEGAP","EMPLOYEE","PC","A","2015",14.2325661076905,
